0	   1.0000000000
1	   0.0706420514
2	   0.0029819831
3	   0.0049201412
4	   0.0164001804
5	   0.0123499381
6	   0.0107676818
7	   0.0168986691
8	   0.0114176106
9	   0.0015379328
10	   0.0172424280
11	   0.0073553600
12	   0.0042829227
13	   0.0142911660
14	   0.0064602463
15	   0.0010877910
16	   0.0206733553
17	   0.0066381526
18	   0.0117718262
19	   0.0250936270
20	   0.0064435769
21	   0.0167735479
22	   0.0043720969
23	   0.0000470848
24	   0.0167549985
25	   0.0132197682
26	   0.0179326418
27	   0.0046180217
28	   0.0151809424
29	   0.0134365642
30	   0.0077392225
31	   0.0243010983
32	   0.0039863625
33	   0.0130916098
34	   0.0023322808
35	   0.0188302939
36	   0.0120249997
37	   0.0097817223
38	   0.0085099561
39	   0.0164384930
40	   0.0071549089
41	   0.0346861220
42	   0.0263160995
43	   0.0098618060
44	   0.0062905489
45	   0.0019501918
46	   0.0013997937
47	   0.0151635683
48	   0.0080533656
49	   0.0094713184
50	   0.0031703667
51	   0.0002170490
52	   0.0043114205
53	   0.0050099782
54	   0.0118065088
55	   0.0157989335
56	   0.0108452318
57	   0.0033306052
58	   0.0022749247
59	   0.0208308137
